x_mm,L_mm,r_mag,p_norm
1.728457,2.50,0.95,1.61379706
1.733467,2.50,0.95,1.02056243
1.738477,2.50,0.95,0.24975933
1.743487,2.50,0.95,0.57560511
1.748497,2.50,0.95,1.29068305
1.753507,2.50,0.95,1.77773898
1.758517,2.50,0.95,1.94951424
1.763527,2.50,0.95,1.77542254
1.768537,2.50,0.95,1.28646288
1.773547,2.50,0.95,0.57024588
1.778557,2.50,0.95,0.25522713
1.783567,2.50,0.95,1.02534705
1.788577,2.50,0.95,1.61694588
1.793587,2.50,0.95,1.92194370
1.798597,2.50,0.95,1.88598119
1.803607,2.50,0.95,1.51545979
1.808617,2.50,0.95,0.87648072
1.813627,2.50,0.95,0.09449807
1.818637,2.50,0.95,0.73076808
1.823647,2.50,0.95,1.40966521
1.828657,2.50,0.95,1.83907701
1.833667,2.50,0.95,1.94228145
1.838677,2.50,0.95,1.70090591
1.843687,2.50,0.95,1.15794589
1.848697,2.50,0.95,0.41123606
1.853707,2.50,0.95,0.41601276
1.858717,2.50,0.95,1.16189999
1.863727,2.50,0.95,1.70330563
1.868737,2.50,0.95,1.94269878
1.873747,2.50,0.95,1.83743762
1.878758,2.50,0.95,1.40626093
1.883768,2.50,0.95,0.72621037
1.888778,2.50,0.95,0.09869464
1.893788,2.50,0.95,0.88086846
1.898798,2.50,0.95,1.51855042
1.903808,2.50,0.95,1.88722112
1.908818,2.50,0.95,1.92111199
1.913828,2.50,0.95,1.61419032
1.918838,2.50,0.95,1.02115926
1.923848,2.50,0.95,0.25043561
1.928858,2.50,0.95,0.57493236
1.933868,2.50,0.95,1.29015472
1.938878,2.50,0.95,1.77744922
1.943888,2.50,0.95,1.94951420
1.948898,2.50,0.95,1.77571187
1.953908,2.50,0.95,1.28698956
1.958918,2.50,0.95,0.57091278
1.963928,2.50,0.95,0.25453619
1.968938,2.50,0.95,1.02474761
1.973948,2.50,0.95,1.61655184
1.978958,2.50,0.95,1.92182478
1.983968,2.50,0.95,1.88615818
1.988978,2.50,0.95,1.51590080
1.993988,2.50,0.95,0.87710595
1.998998,2.50,0.95,0.09507543
2.004008,2.50,0.95,0.73011490
2.009018,2.50,0.95,1.40917821
2.014028,2.50,0.95,1.83884258
2.019038,2.50,0.95,1.94234092
2.024048,2.50,0.95,1.70124835
2.029058,2.50,0.95,1.15850967
2.034068,2.50,0.95,0.41191418
2.039078,2.50,0.95,0.41532611
2.044088,2.50,0.95,1.16133400
2.049098,2.50,0.95,1.70296239
2.054108,2.50,0.95,1.94263896
2.059118,2.50,0.95,1.83767152
2.064128,2.50,0.95,1.40674647
2.069138,2.50,0.95,0.72685913
2.074148,2.50,0.95,0.09807152
2.079158,2.50,0.95,0.88023979
2.084168,2.50,0.95,1.51810822
2.089178,2.50,0.95,1.88704369
2.094188,2.50,0.95,1.92123053
2.099198,2.50,0.95,1.61458337
2.104208,2.50,0.95,1.02175595
2.109218,2.50,0.95,0.25111198
2.114228,2.50,0.95,0.57425953
2.119238,2.50,0.95,1.28962624
2.124248,2.50,0.95,1.77715923
2.129259,2.50,0.95,1.94951391
2.134269,2.50,0.95,1.77600098
2.139279,2.50,0.95,1.28751607
2.144289,2.50,0.95,0.57157963
2.149299,2.50,0.95,0.25384526
2.154309,2.50,0.95,1.02414803
2.159319,2.50,0.95,1.61615760
2.164329,2.50,0.95,1.92170560
2.169339,2.50,0.95,1.88633492
2.174349,2.50,0.95,1.51634160
2.179359,2.50,0.95,0.87773107
2.184369,2.50,0.95,0.09565448
2.189379,2.50,0.95,0.72946162
2.194389,2.50,0.95,1.40869102
2.199399,2.50,0.95,1.83860791
2.204409,2.50,0.95,1.94240014
2.209419,2.50,0.95,1.70159056
2.214429,2.50,0.95,1.15907330
2.219439,2.50,0.95,0.41259228
2.224449,2.50,0.95,0.41463941
2.229459,2.50,0.95,1.16076785
2.234469,2.50,0.95,1.70261894
2.239479,2.50,0.95,1.94257889
2.244489,2.50,0.95,1.83790518
2.249499,2.50,0.95,1.40723182
2.254509,2.50,0.95,0.72750781
2.259519,2.50,0.95,0.09744950
2.264529,2.50,0.95,0.87961100
2.269539,2.50,0.95,1.51766581
2.274549,2.50,0.95,1.88686601
2.279559,2.50,0.95,1.92134882
2.284569,2.50,0.95,1.61497622
2.289579,2.50,0.95,1.02235252
2.294589,2.50,0.95,0.25178843
2.299599,2.50,0.95,0.57358663
2.304609,2.50,0.95,1.28909758
2.309619,2.50,0.95,1.77686901
2.314629,2.50,0.95,1.94951336
2.319639,2.50,0.95,1.77628986
2.324649,2.50,0.95,1.28804242
2.329659,2.50,0.95,0.57224642
2.334669,2.50,0.95,0.25315434
2.339679,2.50,0.95,1.02354832
2.344689,2.50,0.95,1.61576315
2.349699,2.50,0.95,1.92158618
2.354709,2.50,0.95,1.88651142
2.359719,2.50,0.95,1.51678222
2.364729,2.50,0.95,0.87835608
2.369739,2.50,0.95,0.09623517
2.374749,2.50,0.95,0.72880825
2.379760,2.50,0.95,1.40820364
2.384770,2.50,0.95,1.83837300
2.389780,2.50,0.95,1.94245910
2.394790,2.50,0.95,1.70193256
2.399800,2.50,0.95,1.15963678
2.404810,2.50,0.95,0.41327036
2.409820,2.50,0.95,0.41395266
2.414830,2.50,0.95,1.16020155
2.419840,2.50,0.95,1.70227526
2.424850,2.50,0.95,1.94251857
2.429860,2.50,0.95,1.83813860
2.434870,2.50,0.95,1.40771699
2.439880,2.50,0.95,0.72815640
2.444890,2.50,0.95,0.09682858
2.449900,2.50,0.95,0.87898210
2.454910,2.50,0.95,1.51722321
2.459920,2.50,0.95,1.88668808
2.464930,2.50,0.95,1.92146686
2.469940,2.50,0.95,1.61536885
2.474950,2.50,0.95,1.02294896
2.479960,2.50,0.95,0.25246498
2.484970,2.50,0.95,0.57291366
2.489980,2.50,0.95,1.28856876
2.494990,2.50,0.95,1.77657856
2.500000,2.50,0.95,1.94951256
