d_over_lambda,d_um,Zin_real_MRayl,Zin_imag_MRayl,Zin_mag_MRayl,T_power,T_dB
1.725863,129.4397,0.190404,-0.230292,0.298811,0.02463619,-16.0843
1.727864,129.5898,0.189715,-0.210953,0.283713,0.02454835,-16.0998
1.729865,129.7399,0.189088,-0.191678,0.269249,0.02446847,-16.1139
1.731866,129.8899,0.188523,-0.172462,0.255508,0.02439644,-16.1267
1.733867,130.0400,0.188019,-0.153299,0.242594,0.02433218,-16.1382
1.735868,130.1901,0.187576,-0.134183,0.230629,0.02427561,-16.1483
1.737869,130.3402,0.187192,-0.115107,0.219751,0.02422666,-16.1571
1.739870,130.4902,0.186867,-0.096067,0.210115,0.02418527,-16.1645
1.741871,130.6403,0.186602,-0.077055,0.201885,0.02415140,-16.1706
1.743872,130.7904,0.186395,-0.058067,0.195230,0.02412499,-16.1753
1.745873,130.9405,0.186246,-0.039096,0.190305,0.02410601,-16.1787
1.747874,131.0905,0.186155,-0.020138,0.187241,0.02409445,-16.1808
1.749875,131.2406,0.186123,-0.001185,0.186126,0.02409029,-16.1816
1.751876,131.3907,0.186148,0.017767,0.186994,0.02409353,-16.1810
1.753877,131.5408,0.186231,0.036725,0.189818,0.02410416,-16.1791
1.755878,131.6908,0.186373,0.055694,0.194516,0.02412221,-16.1758
1.757879,131.8409,0.186573,0.074679,0.200964,0.02414768,-16.1712
1.759880,131.9910,0.186831,0.093687,0.209005,0.02418063,-16.1653
1.761881,132.1411,0.187148,0.112724,0.218475,0.02422107,-16.1581
1.763882,132.2911,0.187524,0.131795,0.229206,0.02426908,-16.1495
1.765883,132.4412,0.187961,0.150906,0.241043,0.02432469,-16.1395
1.767884,132.5913,0.188457,0.170063,0.253845,0.02438798,-16.1282
1.769885,132.7414,0.189014,0.189272,0.267489,0.02445903,-16.1156
1.771886,132.8914,0.189633,0.208539,0.281867,0.02453793,-16.1016
1.773887,133.0415,0.190314,0.227870,0.296891,0.02462477,-16.0863
1.775888,133.1916,0.191059,0.247271,0.312485,0.02471966,-16.0696
1.777889,133.3417,0.191868,0.266749,0.328586,0.02482272,-16.0515
