theta_deg,R_glass,R_glass_dB,T_glass,R_pdms,R_pdms_dB,T_pdms,R_acrylic,R_acrylic_dB,T_acrylic,R_open,R_open_dB,T_open
48.60,1.00000000,0.0000,0.00000000,0.08381702,-10.7667,0.91618298,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
48.70,1.00000000,0.0000,0.00000000,0.08419597,-10.7471,0.91580403,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
48.80,1.00000000,0.0000,0.00000000,0.08457738,-10.7275,0.91542262,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
48.90,1.00000000,0.0000,0.00000000,0.08496126,-10.7078,0.91503874,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
49.00,1.00000000,0.0000,0.00000000,0.08534765,-10.6881,0.91465235,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
49.10,1.00000000,0.0000,0.00000000,0.08573655,-10.6683,0.91426345,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
49.20,1.00000000,0.0000,0.00000000,0.08612798,-10.6486,0.91387202,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
49.30,1.00000000,0.0000,0.00000000,0.08652196,-10.6287,0.91347804,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
49.40,1.00000000,0.0000,0.00000000,0.08691851,-10.6089,0.91308149,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
49.50,1.00000000,0.0000,0.00000000,0.08731765,-10.5890,0.91268235,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
49.60,1.00000000,0.0000,0.00000000,0.08771939,-10.5690,0.91228061,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
49.70,1.00000000,0.0000,0.00000000,0.08812375,-10.5491,0.91187625,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
49.80,1.00000000,0.0000,0.00000000,0.08853076,-10.5291,0.91146924,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
49.90,1.00000000,0.0000,0.00000000,0.08894043,-10.5090,0.91105957,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
50.00,1.00000000,0.0000,0.00000000,0.08935278,-10.4889,0.91064722,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
50.10,1.00000000,0.0000,0.00000000,0.08976783,-10.4688,0.91023217,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
50.20,1.00000000,0.0000,0.00000000,0.09018560,-10.4486,0.90981440,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
50.30,1.00000000,0.0000,0.00000000,0.09060610,-10.4284,0.90939390,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
50.40,1.00000000,0.0000,0.00000000,0.09102937,-10.4082,0.90897063,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
50.50,1.00000000,0.0000,0.00000000,0.09145541,-10.3879,0.90854459,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
50.60,1.00000000,0.0000,0.00000000,0.09188425,-10.3676,0.90811575,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
50.70,1.00000000,0.0000,0.00000000,0.09231591,-10.3472,0.90768409,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
50.80,1.00000000,0.0000,0.00000000,0.09275041,-10.3268,0.90724959,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
50.90,1.00000000,0.0000,0.00000000,0.09318776,-10.3064,0.90681224,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
51.00,1.00000000,0.0000,0.00000000,0.09362800,-10.2859,0.90637200,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
51.10,1.00000000,0.0000,0.00000000,0.09407113,-10.2654,0.90592887,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
51.20,1.00000000,0.0000,0.00000000,0.09451719,-10.2449,0.90548281,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
51.30,1.00000000,0.0000,0.00000000,0.09496619,-10.2243,0.90503381,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
51.40,1.00000000,0.0000,0.00000000,0.09541815,-10.2037,0.90458185,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
51.50,1.00000000,0.0000,0.00000000,0.09587309,-10.1830,0.90412691,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
51.60,1.00000000,0.0000,0.00000000,0.09633104,-10.1623,0.90366896,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
51.70,1.00000000,0.0000,0.00000000,0.09679202,-10.1416,0.90320798,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
51.80,1.00000000,0.0000,0.00000000,0.09725605,-10.1208,0.90274395,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
51.90,1.00000000,0.0000,0.00000000,0.09772315,-10.1000,0.90227685,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
52.00,1.00000000,0.0000,0.00000000,0.09819334,-10.0792,0.90180666,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
52.10,1.00000000,0.0000,0.00000000,0.09866665,-10.0583,0.90133335,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
52.20,1.00000000,0.0000,0.00000000,0.09914310,-10.0374,0.90085690,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
52.30,1.00000000,0.0000,0.00000000,0.09962271,-10.0164,0.90037729,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
52.40,1.00000000,0.0000,0.00000000,0.10010550,-9.9954,0.89989450,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
52.50,1.00000000,0.0000,0.00000000,0.10059150,-9.9744,0.89940850,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
52.60,1.00000000,0.0000,0.00000000,0.10108073,-9.9533,0.89891927,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
52.70,1.00000000,0.0000,0.00000000,0.10157322,-9.9322,0.89842678,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
